asset_id,asset_name,account_id,company,price_monthly,term_months,expires_in_days,expires_date,due_amount,base_tcv,grr_pct,nrr_pct,renewal_amount,upsell_opp_amount,risk_band,recommended_actions_count
ALI-001,asset1,CUST-001,Acme Corp,2850.00,7,52,2026-07-20,2850.00,34200.00,90,90,30600.00,0.00,,
ALI-002,asset2,CUST-002,GlobalTech Ltd,9600.00,41,17,2026-06-15,9600.00,115200.00,85,85,97920.00,0.00,,
ALI-003,asset3,CUST-003,Sunrise Industries,7200.00,72,186,2026-12-01,0.00,259200.00,100,109,93038.00,8640.00,,
ALI-004,asset4,CUST-004,Peak Solutions,1260.00,12,160,2026-11-05,1260.00,15120.00,100,100,15120.00,2520.00,,
ALI-005,asset5,CUST-005,Nexus Corp,1440.00,3,22,2026-06-20,1440.00,17280.00,69,69,11923.00,0.00,,
ALI-006,asset6,CUST-006,BlueStar Analytics,4640.00,12,78,2026-08-15,0.00,55680.00,100,109,60691.00,5568.00,,
ALI-007,asset7,CUST-007,Vertex Inc,2940.00,12,37,2026-07-05,2940.00,35280.00,88,88,31046.00,0.00,,
ALI-008,asset8,CUST-008,Quantum Systems,7800.00,12,83,2026-08-20,7800.00,93600.00,100,100,93600.00,11700.00,,
ALI-009,asset9,CUST-009,Atlas Group,13800.00,15,3,2026-06-01,13800.00,165600.00,72,72,119232.00,0.00,,
ALI-010,asset10,CUST-010,Meridian Co,12200.00,108,231,2027-01-15,0.00,1024800.00,100,109,159576.00,14640.00,,
